stock,STT,indicator,2017,2016,2015,2014,2013
DHG,3,Lợi nhuận trên cổ phiếu (EPS),0.16,0.20,0.11,-0.10,0.20
DHM,3,Lợi nhuận trên cổ phiếu (EPS),-0.38,0.63,1.41,-0.80,-0.63
DHT,3,Lợi nhuận trên cổ phiếu (EPS),0.68,0.40,0.37,0.00,0.76
DIC,3,Lợi nhuận trên cổ phiếu (EPS),1.68,0.19,1.67,-0.52,0.79
DIG,3,Lợi nhuận trên cổ phiếu (EPS),3.04,6.54,-0.75,-0.05,0.96
DLG,3,Lợi nhuận trên cổ phiếu (EPS),-0.30,-0.28,0.70,28.80,-0.71
DNP,3,Lợi nhuận trên cổ phiếu (EPS),0.53,0.79,1.19,1.27,0.04
DPM,3,Lợi nhuận trên cổ phiếu (EPS),-0.44,-0.24,0.36,-0.51,-0.27
DPR,3,Lợi nhuận trên cổ phiếu (EPS),2.00,0.09,-0.32,-0.42,-0.28
DPS,3,Lợi nhuận trên cổ phiếu (EPS),-0.70,-0.19,0.81,18.47,0.00
DQC,3,Lợi nhuận trên cổ phiếu (EPS),-0.42,0.02,-0.17,1.56,0.57
DRC,3,Lợi nhuận trên cổ phiếu (EPS),-0.40,-0.05,0.18,-0.06,0.20
DRH,3,Lợi nhuận trên cổ phiếu (EPS),3.31,3.51,0.37,4.09,-1.09
DST,3,Lợi nhuận trên cổ phiếu (EPS),0.30,1.10,1.02,-0.13,-3.39
DTA,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.77,-0.82,0.00,-14.70
DXG,3,Lợi nhuận trên cổ phiếu (EPS),2.64,0.60,1.01,0.85,0.57
EFI,3,Lợi nhuận trên cổ phiếu (EPS),-1.00,0.00,0.01,-0.47,0.00
EIB,3,Lợi nhuận trên cổ phiếu (EPS),0.00,3.90,0.13,-0.92,-0.69
ELC,3,Lợi nhuận trên cổ phiếu (EPS),-0.49,0.24,0.20,0.76,-0.69
EVE,3,Lợi nhuận trên cổ phiếu (EPS),-0.65,-0.27,0.36,-0.05,0.07
FCM,3,Lợi nhuận trên cổ phiếu (EPS),-0.09,0.85,-0.08,-0.35,1.00
FCN,3,Lợi nhuận trên cổ phiếu (EPS),0.30,0.06,-0.04,0.28,0.21
FID,3,Lợi nhuận trên cổ phiếu (EPS),-0.88,-0.53,8.05,0.00,0.00
FIT,3,Lợi nhuận trên cổ phiếu (EPS),-0.16,-0.54,0.63,3.41,1.74
FLC,3,Lợi nhuận trên cổ phiếu (EPS),-0.41,0.15,1.65,2.33,1.63
FMC,3,Lợi nhuận trên cổ phiếu (EPS),0.33,0.08,0.64,0.76,4.93
FPT,3,Lợi nhuận trên cổ phiếu (EPS),0.09,0.03,0.19,0.01,0.04
GAS,3,Lợi nhuận trên cổ phiếu (EPS),0.80,-0.18,-0.40,0.14,0.28
GEX,3,Lợi nhuận trên cổ phiếu (EPS),0.23,-0.47,5.17,-0.82,-0.15
GGG,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,0.00,1.48,-0.59
GMD,3,Lợi nhuận trên cổ phiếu (EPS),0.08,-0.05,-0.25,2.91,0.36
GSM,3,Lợi nhuận trên cổ phiếu (EPS),9.78,0.00,0.00,0.00,0.00
GTN,3,Lợi nhuận trên cổ phiếu (EPS),0.32,-0.73,-0.31,0.03,4.66
GTT,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,-229.75,-0.52,0.47
HAG,3,Lợi nhuận trên cổ phiếu (EPS),0.00,-2.59,-0.61,0.82,1.64
HAH,3,Lợi nhuận trên cổ phiếu (EPS),-0.03,-0.20,0.25,1.93,-0.56
HAI,3,Lợi nhuận trên cổ phiếu (EPS),-0.25,-0.16,0.57,0.23,-0.07
HAP,3,Lợi nhuận trên cổ phiếu (EPS),-0.72,-0.65,0.33,0.20,1.20
HAR,3,Lợi nhuận trên cổ phiếu (EPS),-0.64,0.48,-0.56,1.27,0.75
HAX,3,Lợi nhuận trên cổ phiếu (EPS),0.00,1.69,0.71,5.70,-1.11
HBC,3,Lợi nhuận trên cổ phiếu (EPS),1.45,5.29,0.28,0.26,-0.58
