stock,STT,indicator,2017,2016,2015,2014,2013
SSN,3,Lợi nhuận trên cổ phiếu (EPS),0.00,-0.88,7.34,0.00,-0.48
STB,3,Lợi nhuận trên cổ phiếu (EPS),0.00,-0.67,-0.48,-0.01,2.12
STC,3,Lợi nhuận trên cổ phiếu (EPS),0.06,-0.12,0.05,0.01,-0.06
STG,3,Lợi nhuận trên cổ phiếu (EPS),3.23,2.73,-0.22,0.18,0.09
STK,3,Lợi nhuận trên cổ phiếu (EPS),0.07,-0.65,-0.47,0.43,-0.12
SVN,3,Lợi nhuận trên cổ phiếu (EPS),-1.25,-0.10,9.21,0.00,-1.00
SWC,3,Lợi nhuận trên cổ phiếu (EPS),3.18,0.20,0.34,0.22,0.50
TC6,3,Lợi nhuận trên cổ phiếu (EPS),-0.63,-0.99,-0.41,-0.13,3.59
TCH,3,Lợi nhuận trên cổ phiếu (EPS),0.36,0.00,0.00,0.00,0.00
TCM,3,Lợi nhuận trên cổ phiếu (EPS),0.75,-0.26,-0.09,0.36,-7.12
TDC,3,Lợi nhuận trên cổ phiếu (EPS),0.35,0.04,0.07,-0.31,0.00
TDH,3,Lợi nhuận trên cổ phiếu (EPS),0.53,1.23,0.30,0.25,0.44
TDN,3,Lợi nhuận trên cổ phiếu (EPS),-0.61,-0.16,-0.34,-2.05,-0.28
TEG,3,Lợi nhuận trên cổ phiếu (EPS),0.10,10.08,0.00,0.00,0.00
THT,3,Lợi nhuận trên cổ phiếu (EPS),-0.44,-0.05,-0.35,0.00,1.09
THV,3,Lợi nhuận trên cổ phiếu (EPS),-0.26,1.86,-32.82,5.92,-1.03
TIG,3,Lợi nhuận trên cổ phiếu (EPS),-0.73,-0.49,2.17,2.41,1.79
TIS,3,Lợi nhuận trên cổ phiếu (EPS),-0.74,2.46,0.00,0.00,-317.20
TLC,3,Lợi nhuận trên cổ phiếu (EPS),-0.21,-0.06,1.50,-83.38,-1.01
TLH,3,Lợi nhuận trên cổ phiếu (EPS),1.53,0.00,-3.29,-0.29,1.51
TNG,3,Lợi nhuận trên cổ phiếu (EPS),0.02,0.07,0.42,1.40,-0.12
TNM,3,Lợi nhuận trên cổ phiếu (EPS),-1.00,4.72,-0.57,-0.32,-0.76
TNT,3,Lợi nhuận trên cổ phiếu (EPS),-0.92,-0.78,0.47,0.00,6.68
TOP,3,Lợi nhuận trên cổ phiếu (EPS),-0.98,5.81,1.88,0.00,0.00
TPC,3,Lợi nhuận trên cổ phiếu (EPS),0.53,1.01,-0.10,-0.50,-0.23
TSC,3,Lợi nhuận trên cổ phiếu (EPS),-1.15,-0.90,0.76,50.39,-1.06
TTB,3,Lợi nhuận trên cổ phiếu (EPS),-0.18,0.98,0.18,0.49,3.09
TTC,3,Lợi nhuận trên cổ phiếu (EPS),-0.21,-0.02,0.65,-0.02,0.65
TTF,3,Lợi nhuận trên cổ phiếu (EPS),0.00,-7.08,1.53,15.06,-0.41
TTP,3,Lợi nhuận trên cổ phiếu (EPS),-0.18,0.97,0.61,-0.11,-0.11
TTZ,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.94,0.62,17.08,-0.73
TVB,3,Lợi nhuận trên cổ phiếu (EPS),1.57,29.79,-0.88,5.15,0.00
TVC,3,Lợi nhuận trên cổ phiếu (EPS),0.31,11.59,-0.64,0.85,0.00
TVN,3,Lợi nhuận trên cổ phiếu (EPS),0.73,4.69,0.00,0.00,0.00
TVS,3,Lợi nhuận trên cổ phiếu (EPS),1.38,-0.31,0.13,-0.14,0.68
UDC,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,-3.73,12.67,-0.97
UNI,3,Lợi nhuận trên cổ phiếu (EPS),-0.94,-0.97,13.94,0.08,-0.83
V11,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,0.00,0.94,-0.67
V12,3,Lợi nhuận trên cổ phiếu (EPS),0.03,-0.13,0.26,-0.20,-0.19
VAT,3,Lợi nhuận trên cổ phiếu (EPS),-1.11,-0.64,2.44,-0.06,14.68
VC2,3,Lợi nhuận trên cổ phiếu (EPS),-0.37,-0.08,-0.02,0.49,-0.47
VC3,3,Lợi nhuận trên cổ phiếu (EPS),0.26,0.81,1.36,0.82,-0.11
VC9,3,Lợi nhuận trên cổ phiếu (EPS),0.64,-0.08,0.76,-0.17,-0.46
VCB,3,Lợi nhuận trên cổ phiếu (EPS),0.21,0.28,0.16,0.06,-0.01
VCG,3,Lợi nhuận trên cổ phiếu (EPS),0.59,0.44,0.05,-0.44,7.28
VCS,3,Lợi nhuận trên cổ phiếu (EPS),0.75,0.67,0.91,1.96,0.31
VDS,3,Lợi nhuận trên cổ phiếu (EPS),0.55,1.36,-0.80,67.36,-1.06
VE1,3,Lợi nhuận trên cổ phiếu (EPS),-3.51,-1.91,0.04,5.06,-1.07
VE9,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,-2.73,-0.44,0.65
VGC,3,Lợi nhuận trên cổ phiếu (EPS),0.46,0.49,-0.22,8.55,0.00
VGS,3,Lợi nhuận trên cổ phiếu (EPS),-0.15,0.78,1.09,0.74,0.22
VHC,3,Lợi nhuận trên cổ phiếu (EPS),-0.04,0.72,-0.23,1.60,-0.23
VHG,3,Lợi nhuận trên cổ phiếu (EPS),0.00,-1.34,-0.24,0.11,-3.25
VIC,3,Lợi nhuận trên cổ phiếu (EPS),0.02,0.34,-0.64,-0.53,3.30
VID,3,Lợi nhuận trên cổ phiếu (EPS),11.80,-0.53,1.00,-0.66,2.11
VIG,3,Lợi nhuận trên cổ phiếu (EPS),0.00,-4.26,-0.22,0.53,-1.11
VIP,3,Lợi nhuận trên cổ phiếu (EPS),-0.55,0.44,-0.74,0.49,1.75
VIS,3,Lợi nhuận trên cổ phiếu (EPS),12.75,0.00,-3.32,0.00,0.25
VIT,3,Lợi nhuận trên cổ phiếu (EPS),0.21,0.54,0.35,1.37,-2.17
VIX,3,Lợi nhuận trên cổ phiếu (EPS),-0.23,-0.25,-0.10,0.87,-1.83
VKC,3,Lợi nhuận trên cổ phiếu (EPS),-0.59,0.73,1.08,1.29,-0.51
VKD,3,Lợi nhuận trên cổ phiếu (EPS),-1.00,0.04,-0.05,0.01,0.51
VMI,3,Lợi nhuận trên cổ phiếu (EPS),0.08,0.33,0.63,4.18,-0.17
VNA,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,-24.63,0.00,2.81
VNE,3,Lợi nhuận trên cổ phiếu (EPS),104.92,-0.86,0.10,6.66,-0.71
VNG,3,Lợi nhuận trên cổ phiếu (EPS),1.97,0.00,-7.96,1.53,-0.93
VNH,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,-4.28,-1.62,-34.88
VNM,3,Lợi nhuận trên cổ phiếu (EPS),0.10,0.20,0.28,-0.07,0.12
VNP,3,Lợi nhuận trên cổ phiếu (EPS),1.01,0.48,57.35,0.00,-10.70
VNR,3,Lợi nhuận trên cổ phiếu (EPS),0.24,-0.02,-0.59,1.05,0.15
VNS,3,Lợi nhuận trên cổ phiếu (EPS),-0.31,-0.05,0.05,0.40,0.53
VOS,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,-5.21,0.00,4.59
VPD,3,Lợi nhuận trên cổ phiếu (EPS),3.41,0.28,0.00,0.00,0.00
VPH,3,Lợi nhuận trên cổ phiếu (EPS),0.97,-0.22,24.19,-0.65,0.30
VRC,3,Lợi nhuận trên cổ phiếu (EPS),14.86,19.53,-0.92,-0.51,0.71
VSC,3,Lợi nhuận trên cổ phiếu (EPS),0.03,-0.09,0.12,0.03,0.05
VSH,3,Lợi nhuận trên cổ phiếu (EPS),0.23,0.03,-0.33,0.91,-0.16
VSP,3,Lợi nhuận trên cổ phiếu (EPS),-1.00,-352.38,-1.00,-2.22,3.08
VST,3,Lợi nhuận trên cổ phiếu (EPS),0.00,0.00,0.00,0.00,0.79
VTO,3,Lợi nhuận trên cổ phiếu (EPS),-0.11,0.57,0.05,0.20,-0.02
WSB,3,Lợi nhuận trên cổ phiếu (EPS),0.18,0.06,0.00,2.62,-0.69
