Industry,Stock,+/-,EPS,PE,ROA,ROE,Giá SS,P/B,Beta,totalVolume,NN,von
thucpham,IFC,13.8(1.6),22,554.5,-1%,7%,-9.4,-130%,0,"3,000,000","1,470,000(49%)",37
thucpham,NDF,3.6(-0.3),"1,090",3.6,9%,10%,11.1,35%,1.2,"7,853,800","3,848,362(49%)",31
thuongmai,MWG,130.8(0),"6,464",20.2,12%,38%,17,768%,0.8,"307,765,789","71,975,597(23%)","40,256"
thuongmai,PNJ,137(1.9),"5,533",24.4,15%,22%,25.2,535%,0.9,"108,101,325","48,154,542(45%)","14,605"
thuongmai,SID,21.4(1.1),998,20.3,4%,5%,20.9,97%,0,"100,000,000",0(0%),"2,030"
thuongmai,SVC,49.8(0.9),"4,136",11.8,4%,13%,48.5,101%,0.3,"24,975,507","12,247,830(49%)","1,224"
thuongmai,SMC,26.6(-0.2),"8,251",3.2,7%,31%,27.4,98%,1.3,"41,999,243","14,463,996(34%)","1,124"
thuongmai,PET,11.8(0.1),"1,501",7.8,2%,10%,19.2,61%,0.8,"86,600,124","42,434,060(49%)","1,013"
thuongmai,TAG,35.8(0.3),435,81.6,1%,4%,10.5,338%,-0.9,"24,914,991","12,208,345(49%)",884
thuongmai,DGW,21.2(0.4),"1,717",12.1,5%,10%,16.7,125%,0.6,"39,751,747","15,000,531(38%)",827
thuongmai,HDC,16.5(-0.1),"1,910",8.6,6%,13%,15.4,107%,0.5,"45,078,437","20,145,467(45%)",744
thuongmai,HLG,11.8(-0.1),"2,888",4.1,7%,21%,13.8,86%,0.6,"44,225,385","21,743,938(49%)",528
thuongmai,GIL,35.0(0),"4,107",8.5,4%,12%,37.5,93%,0.1,"12,674,588","6,823,048(54%)",487
thuongmai,BTT,33.3(-2.1),"2,330",15.2,6%,10%,27.4,129%,0.6,"12,878,703","5,194,000(40%)",456
thuongmai,TNA,37(1.4),"6,771",5.3,7%,22%,32.1,111%,0.2,"12,592,167","4,951,340(39%)",448
thuongmai,HTG,18(-0.3),"2,974",6.2,3%,16%,0,0%,0,"22,500,000",0(0%),412
thuongmai,KHA,29.8(1.8),"2,652",10.6,7%,8%,35.1,80%,-0.6,"12,768,439","6,918,951(54%)",395
thuongmai,HTC,27.7(2.5),"3,621",7,9%,18%,20.3,124%,0.6,"11,000,000","5,145,000(47%)",277
thuongmai,CMV,22.5(0),"1,995",11.3,4%,14%,15,150%,-0.1,"12,103,912","5,930,916(49%)",272
thuongmai,CCI,14.9(0.1),"1,570",9.4,4%,11%,14.9,100%,0.5,"17,541,105","8,694,493(50%)",263
thuongmai,VHG,1.5(0.0),"-1,964",-0.7,-20%,-21%,9.6,15%,1.1,"150,000,000","73,500,000(49%)",218
thuongmai,SMA,11.1(0.6),820,12.8,2%,7%,11,96%,-0.2,"16,120,000","7,898,800(49%)",169
thuongmai,TMC,13(0),"1,691",7.7,6%,11%,15.5,84%,0.7,"12,400,000","6,076,000(49%)",161
thuongmai,PIT,6.4(0.1),-763,-8.3,-2%,-6%,12.5,50%,-0.2,"14,210,225","7,447,679(52%)",96
thuongmai,HTT,4.4(-0.1),488,9.2,2%,4%,11.5,39%,-0.2,"20,000,000",0(0%),90
thuongmai,CMS,4.8(0),384,12.5,2%,4%,12.3,39%,0.3,"17,200,000","8,428,000(49%)",83
thuongmai,TH1,5.4(0),"-7,223",-0.7,-10%,-221%,3.3,166%,0.2,"13,539,226","6,634,240(49%)",73
thuongmai,CKV,17.7(0),"1,302",13.6,3%,6%,21,84%,0.4,"4,050,000","1,984,500(49%)",72
thuysan,VHC,53.5(-0.2),"5,500",9.8,10%,18%,30.3,177%,0.6,"92,403,943","92,403,943(100%)","4,962"
thuysan,MPC,54(0.2),"4,943",10.9,5%,17%,34.8,155%,0.5,"70,000,000","34,300,000(49%)","3,780"
thuysan,SEA,15(-1.2),"2,054",7.9,10%,13%,15.8,103%,0,"125,000,000",0(0%),"2,025"
thuysan,HVG,7.9(-0.2),-496,-16.1,0%,-2%,14,57%,1.6,"222,038,291","91,927,804(41%)","1,816"
thuysan,ANV,10.9(-0.2),711,15.6,4%,7%,10.7,103%,0.5,"124,649,875","32,340,000(26%)","1,388"
thuysan,FMC,22.7(0.1),"3,128",7.2,7%,22%,14.2,159%,0.5,"39,000,000","14,700,000(38%)",883
thuysan,DAT,22.9(0),664,34.5,2%,6%,12.3,187%,1.8,"43,815,000","18,669,000(43%)",872
thuysan,SSN,19.7(0),"1,080",18.2,4%,9%,12.5,157%,0,"39,600,000","19,384,000(49%)",780
thuysan,ABT,30(1),"2,019",14.4,5%,6%,34.2,85%,0.3,"11,558,307","6,912,531(60%)",409
thuysan,SJ1,13.7(-1.5),"1,102",13.8,2%,8%,25.4,60%,0.1,"18,780,597","3,795,140(20%)",285
thuysan,AGF,8.9(-0.1),161,55.9,0%,1%,28.2,32%,0.4,"28,109,743","13,773,774(49%)",253
thuysan,ACL,8.1(-0.0),"1,216",6.7,2%,7%,16.4,50%,0.4,"22,799,675","9,014,991(40%)",185
