Industry,Stock,+/-,EPS,PE,ROA,ROE,Giá SS,P/B,Beta,totalVolume,NN,von
vlxd,SDY,7.2(0),"-2,565",-2.8,-19%,-1000%,0.1,6011%,-0.6,"4,500,000","2,205,000(49%)",32
vlxd,VTS,13.5(0),655,20.6,2%,3%,23.6,57%,0.7,"2,000,205","980,100(49%)",27
vlxd,LCC,3.1(0),0,0,-20%,21%,0,0%,0,"5,838,999","2,861,109(49%)",18
vlxd,BHT,3.6(0),"-2,862",-1.3,-8%,-114%,2.5,143%,0.9,"4,600,000","2,254,000(49%)",16
vlxd,HLY,14.4(0),874,16.5,2%,4%,23.4,61%,0.3,"999,905","490,000(49%)",14
vlxd,TBX,8.1(0),443,18.3,1%,3%,15,54%,0,"1,510,280","740,037(49%)",12
vlxd,BHC,2.6(0.2),0,0,-2%,10%,-5.2,-47%,0.8,"4,500,000","2,193,600(49%)",11
vlxd,DAC,9(0),0,0,4%,17%,0,0%,-0.1,"1,004,974","436,269(43%)",9
vlxd,PPG,1.1(0),"-3,429",-0.3,-16%,-209%,3.8,29%,0.2,"7,103,700","2,334,548(33%)",8
vlxd,CYC,2(0),263,7.6,1%,4%,6.4,31%,0.8,"9,046,425","975,359(11%)",4
xaydung,ROS,172.5(2.5),837,203.1,5%,8%,10.9,1560%,0.7,"472,999,999",0(0%),"80,410"
xaydung,CTD,226(3),"21,448",10.4,12%,24%,88.9,251%,0.7,"76,983,344","22,960,189(30%)","17,182"
xaydung,VCG,21.7(0.3),"1,440",14.9,4%,11%,16.8,127%,2.3,"441,710,673","216,438,229(49%)","9,453"
xaydung,DXG,21.5(0.9),"2,841",7.3,12%,27%,14.9,138%,1.1,"303,134,686","57,459,149(19%)","6,246"
xaydung,DIG,20.6(0.2),346,59,1%,3%,11.9,171%,0.6,"238,194,819","113,530,461(48%)","4,859"
xaydung,HBC,44.5(-0.4),"6,745",6.6,6%,39%,17.4,258%,0.1,"128,852,717","46,279,258(36%)","4,276"
xaydung,BCI,34.5(0),"1,544",22.3,5%,6%,23.9,145%,0.3,"86,720,144","42,492,870(49%)","2,992"
xaydung,CC1,19.5(0.5),"1,344",14.1,3%,17%,18,106%,0,"110,000,000",0(0%),"2,090"
xaydung,VLB,35(2.5),"3,514",9.2,21%,26%,13.5,240%,0,"45,000,000",0(0%),"1,462"
xaydung,HAN,10.1(0),934,10.8,1%,7%,11.6,87%,0,"141,048,000",0(0%),"1,425"
xaydung,VCP,26(0),"1,606",16.2,5%,12%,0,0%,0,"45,599,995",0(0%),"1,186"
xaydung,LIC,9.9(0),"-1,130",-8.8,-11%,-80%,6.1,163%,0,"90,000,000",0(0%),891
xaydung,TV2,140.9(1.3),"27,072",5.2,10%,40%,67.9,206%,-0.6,"5,863,470","764,814(13%)",819
xaydung,CTX,27(1),"2,492",10.4,3%,11%,22.1,118%,0.4,"26,353,800","12,913,362(49%)",685
xaydung,VNE,7.4(0.0),"1,252",5.8,7%,11%,11.8,62%,0.6,"88,834,033","40,355,177(45%)",661
xaydung,C32,38.3(0.2),"6,780",5.6,14%,21%,31.9,120%,0.5,"13,663,992","5,488,000(40%)",521
xaydung,THG,44.6(1.4),"8,060",5.4,12%,32%,25.2,171%,-0.2,"11,999,907","4,900,000(41%)",518
xaydung,VC3,17.8(0.2),"2,710",6.5,9%,23%,11.7,151%,1,"28,379,461","10,779,873(38%)",499
xaydung,TV1,17.9(-0.1),409,44,1%,3%,12.5,144%,-0.8,"26,691,319","13,078,746(49%)",480
xaydung,SC5,25.1(-0.4),"4,258",6,3%,19%,22.5,113%,-0.1,"14,984,543","7,342,429(49%)",382
xaydung,HC3,26(1.5),"7,119",3.4,10%,14%,23.9,102%,0,"15,543,029",0(0%),381
xaydung,TKC,26(0.1),"2,539",10.2,3%,17%,15.2,170%,0.3,"10,732,232","5,577,293(52%)",295
xaydung,C47,15.7(0.6),"1,467",10.3,1%,7%,19.3,78%,0.4,"17,020,130","5,880,000(35%)",257
xaydung,SDU,12.4(-0.3),160,79.4,0%,1%,17.2,74%,-2.7,"20,000,000","9,800,000(49%)",254
xaydung,VC2,16.4(-0.5),"1,283",13.2,1%,7%,18.5,91%,-0.1,"15,000,000","5,880,000(39%)",253
xaydung,VC7,17.3(0.3),"1,880",9,6%,15%,12.3,138%,0,"10,999,984","3,920,000(36%)",187
xaydung,ICC,49(0),0,0,10%,66%,0,0%,0,"3,800,000","1,862,000(49%)",186
xaydung,RCD,31.8(0),0,0,28%,65%,0,0%,0,"5,300,062","2,597,030(49%)",169
xaydung,VC9,13.7(0.3),"1,327",10.1,1%,8%,15.9,84%,-0.1,"11,695,200","5,880,000(50%)",161
xaydung,ICG,6.9(-0.1),619,11.3,2%,4%,14,50%,0.2,"20,000,000","9,800,000(49%)",140
xaydung,ICN,25.3(1),188,135.1,1%,16%,13.9,183%,0,"5,000,000","2,450,000(49%)",127
xaydung,PTC,6(-0.4),-390,-16.3,-2%,-4%,13.7,46%,0.2,"17,999,999","8,819,999(49%)",114
xaydung,LAI,12(0),"16,584",0.7,4%,12%,14.8,81%,0,"8,550,000","4,189,500(49%)",103
xaydung,VC1,13.5(0),"1,871",7.2,2%,6%,31.2,43%,-0.2,"4,600,000,007,388,000","3,626,000(0%)",100
xaydung,HU4,6.5(0),815,8,2%,5%,16.1,40%,0,"15,000,000","7,350,000(49%)",98
xaydung,HU3,9.1(0),"1,423",6.4,2%,8%,18.3,50%,0.2,"9,999,944","4,899,972(49%)",91
xaydung,MST,3.4(-0.2),477,7.5,3%,4%,11.4,32%,0.3,"18,000,000","8,820,000(49%)",65
xaydung,VE9,4.3(-0.1),"6,407",0.7,40%,60%,10.6,42%,0.3,"12,523,613","6,136,570(49%)",55
xaydung,CEG,11.5(0),0,0,3%,12%,0,0%,0,"3,800,000",0(0%),44
xaydung,C92,7.2(0),802,9,1%,7%,12.2,59%,-1.2,"5,312,920","2,603,330(49%)",38
dtpt,SDI,87(-0.2),"4,963",17.5,5%,22%,22.1,394%,0,"287,989,920","58,486,842(20%)","10,440"
dtpt,DVP,63.9(-0.1),"7,275",8.8,26%,29%,24.9,257%,0.1,"40,000,000","19,600,000(49%)","2,560"
dtpt,FIT,8.5(-0.2),410,21,3%,3%,15.7,55%,1.3,"254,730,247","94,838,991(37%)","2,193"
dtpt,IDI,10.9(-0.4),"1,294",8.7,4%,10%,13.1,86%,1.4,"181,609,671","88,988,738(49%)","2,043"
dtpt,SAM,7.3(0.0),186,39.3,1%,2%,13.9,52%,1.2,"241,785,703","88,315,314(37%)","1,767"
dtpt,HHS,4.8(-0.0),274,17.6,2%,2%,11.3,43%,0.5,"274,744,063","134,624,590(49%)","1,324"
dtpt,SJF,16.4(0),271,60.3,3%,5%,12.7,128%,0.7,"66,000,000",0(0%),"1,079"
dtpt,SEB,50(2),"8,153",5.9,20%,38%,23.6,203%,0.4,"20,000,000","9,800,000(49%)",960
dtpt,ND2,22(0),"2,083",10.6,5%,18%,13.1,168%,0,"47,966,746","20,349,328(42%)",914
dtpt,FDC,26.4(-0.1),-255,-103.7,-1%,-1%,20.5,129%,0.1,"27,609,988","13,528,894(49%)",730
dtpt,FTM,12.4(0),812,15.3,2%,7%,11.3,110%,-0.2,"50,000,000",0(0%),620
dtpt,TCD,17.7(0),"1,448",12.2,2%,16%,12,147%,0.4,"34,434,034",0(0%),609
dtpt,LGL,11.5(-0.1),573,20.2,1%,5%,13.4,87%,0.5,"34,593,784","9,799,644(28%)",401
dtpt,HLD,13.7(0.2),296,45.6,2%,3%,11,123%,0,"40,000,000","9,800,000(25%)",270
dtpt,EID,14.8(0.5),"2,606",5.5,8%,15%,16.9,85%,0.3,"15,000,000","7,350,000(49%)",215
dtpt,SED,21(0),"3,749",5.6,10%,18%,21.3,99%,-0.2,"10,000,000","4,900,000(49%)",210
dtpt,CCL,4.0(-0.1),95,43.6,1%,1%,10.7,39%,-0.5,"35,499,885","17,394,943(49%)",147
dtpt,KSH,2.2(-0.0),51,43.5,0%,1%,11.5,19%,0.2,"57,509,675","13,746,215(24%)",128
dtpt,VCR,3.3(0),-403,-8.2,-2%,-5%,8.6,38%,1.2,"35,240,000","17,640,000(50%)",119
dtpt,BII,2.1(0.1),59,33.9,0%,0%,10.5,19%,1.3,"57,680,000","28,263,200(49%)",115
dtpt,CLG,5.0(-0.2),96,54.2,0%,1%,11.9,44%,0.6,"21,150,000","10,363,500(49%)",110
dtpt,DAD,19.8(0),"2,528",7.8,12%,15%,16.5,120%,0.4,"4,988,000","2,450,000(49%)",99
dtpt,FID,2.4(0.2),35,62.9,1%,1%,10.1,22%,0.2,"23,539,998","10,779,999(46%)",48
dtpt,VLA,16(1.2),"1,545",9.6,10%,11%,14.6,102%,-0.6,"1,080,000","529,200(49%)",16
dtxd,CII,35.2(0.3),"5,681",6.1,8%,22%,27.3,128%,0.4,"279,806,415","134,175,836(48%)","9,751"
dtxd,LGC,23.5(1.0),981,22.9,3%,8%,16.3,138%,-0.6,"192,436,555","65,127,054(34%)","4,339"
dtxd,BCI,34.5(0),"1,544",22.3,5%,6%,23.9,145%,0.3,"86,720,144","42,492,870(49%)","2,992"
dtxd,HUT,10.7(-0.1),"1,326",8.1,3%,10%,13.1,82%,1.3,"251,058,913","82,524,533(33%)","2,711"
dtxd,ASM,10.6(-0.1),672,15.8,2%,5%,12.7,83%,0.7,"241,933,853","107,770,534(45%)","2,564"
dtxd,VCP,26(0),"1,606",16.2,5%,12%,0,0%,0,"45,599,995",0(0%),"1,186"
dtxd,CEE,24.6(-0.1),"1,869",13.2,4%,17%,12,205%,1.1,"41,500,000",0(0%),"1,023"
dtxd,CTX,27(1),"2,492",10.4,3%,11%,22.1,118%,0.4,"26,353,800","12,913,362(49%)",685
dtxd,VNE,7.4(0.0),"1,252",5.8,7%,11%,11.8,62%,0.6,"88,834,033","40,355,177(45%)",661
dtxd,C32,38.3(0.2),"6,780",5.6,14%,21%,31.9,120%,0.5,"13,663,992","5,488,000(40%)",521
dtxd,THG,44.6(1.4),"8,060",5.4,12%,32%,25.2,171%,-0.2,"11,999,907","4,900,000(41%)",518
dtxd,HTI,16.5(0),"3,061",5.4,5%,18%,17,97%,0.2,"24,949,200","12,225,108(49%)",412
dtxd,RGC,3.9(-0.4),-141,-30.5,-1%,-2%,9,48%,0,"89,123,600",0(0%),383
dtxd,CSC,31.3(0),"4,512",6.9,13%,41%,18.8,167%,0.1,"10,000,000","4,900,000(49%)",313
dtxd,SDU,12.4(-0.3),160,79.4,0%,1%,17.2,74%,-2.7,"20,000,000","9,800,000(49%)",254
dtxd,LHC,58.5(-0.5),"8,429",7,11%,18%,86.5,68%,-0.1,"3,600,000","1,764,000(49%)",212
dtxd,VSI,14.6(0),"2,338",6.2,6%,15%,15.1,97%,-0.4,"13,200,000","6,468,000(49%)",193
dtxd,PXL,2.3(0),125,18.4,1%,1%,10.1,23%,0.8,"82,500,412","40,479,004(49%)",190
dtxd,BCE,5.6(0),720,7.8,2%,6%,11.5,49%,0.1,"30,000,000","14,700,000(49%)",168
dtxd,CCL,4.0(-0.1),95,43.6,1%,1%,10.7,39%,-0.5,"35,499,885","17,394,943(49%)",147
dtxd,DND,15.6(-1),94,176.6,3%,5%,12,138%,0,"8,834,000",0(0%),147
dtxd,ICN,25.3(1),188,135.1,1%,16%,13.9,183%,0,"5,000,000","2,450,000(49%)",127
dtxd,PTC,6(-0.4),-390,-16.3,-2%,-4%,13.7,46%,0.2,"17,999,999","8,819,999(49%)",114
dtxd,LAI,12(0),"16,584",0.7,4%,12%,14.8,81%,0,"8,550,000","4,189,500(49%)",103
dtxd,HU4,6.5(0),815,8,2%,5%,16.1,40%,0,"15,000,000","7,350,000(49%)",98
dtxd,HU3,9.1(0),"1,423",6.4,2%,8%,18.3,50%,0.2,"9,999,944","4,899,972(49%)",91
dtxd,HU1,7.5(0),227,33,0%,1%,0,0%,0.5,"10,000,000","4,900,000(49%)",75
dtxd,CT3,7.4(0),0,0,3%,9%,0,0%,0,"8,000,000","3,920,000(49%)",59
dtxd,VE9,4.3(-0.1),"6,407",0.7,40%,60%,10.6,42%,0.3,"12,523,613","6,136,570(49%)",55
dtxd,L18,9.5(0),"2,276",4.2,2%,11%,43.4,22%,0.5,"7,452,000","2,646,000(36%)",51
dtxd,PVV,1.4(0),"-1,051",-1.3,-2%,-25%,4.4,32%,0.5,"30,000,000","14,700,000(49%)",42
dtxd,ICI,9(0),0,0,0%,0%,16.3,55%,0,"4,000,000","1,960,000(49%)",36
dtxd,TTZ,4.7(0.4),200,21.5,1%,2%,11.4,38%,1.6,"7,000,000","2,572,500(37%)",30
dtxd,LUT,1.6(-0.1),"-1,051",-1.6,-3%,-9%,11.1,15%,0.7,"14,960,000","7,350,000(49%)",26
dtxd,CI5,9(0),0,0,3%,17%,0,0%,0,"4,500,000","1,307,479(29%)",24
dtxd,TNY,8(0),293,27.3,1%,12%,32.6,25%,0,"3,000,000","1,470,000(49%)",24
dtxd,NTB,0.5(0),"-8,259",-0.1,-11%,38%,-21.5,-2%,0.9,"39,779,577","19,341,062(49%)",20
dtxd,MCI,5.3(0),0,0,-8%,101%,0,0%,0,"3,500,000","2,940,000(84%)",19
dtxd,VHH,2.6(0),0,0,-6%,-15%,7.5,35%,2.2,"7,500,000","2,940,000(39%)",19
dtxd,BHT,3.6(0),"-2,862",-1.3,-8%,-114%,2.5,143%,0.9,"4,600,000","2,254,000(49%)",16
dtxd,SDX,5.2(0),0,0,-15%,-77%,4.1,127%,0,"2,250,000","1,225,000(54%)",12
dtxd,QCC,7.3(0.1),"1,144",6.3,7%,9%,15.9,45%,1.9,"1,500,000","724,900(48%)",11
dtxd,VES,1(0),0,0,-168%,-302%,1.7,64%,4.8,"9,007,500","4,408,675(49%)",10
dtxd,I10,0.8(0),4,200,-23%,126%,-3.2,-25%,0,"3,500,000","1,715,000(49%)",3
