stock,STT,indicator,2017,2016,2015,2014,2013
DCL,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.12,0.14,0.11,0.10,0.11
DCM,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.14,0.11,0.14,0.15,0.15
DCS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.00,0.02,0.01,0.00,0.01
DDV,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.18,-0.47,0.03,0.00,0.00
DGC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.17,0.23,0.33,0.24,0.48
DGW,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.10,0.11,0.17,0.38,0.21
DHA,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.18,0.15,0.14,0.05,0.03
DHC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.12,0.16,0.26,0.17,0.12
DHG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.26,0.25,0.24,0.23,0.30
DHM,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.02,0.04,0.02,0.01,0.07
DHT,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.34,0.28,0.24,0.23,0.22
DIC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.06,0.04,0.06,0.06,0.07
DIG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.03,0.02,0.01,0.02,0.02
DLG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.02,0.02,0.04,0.03,0.00
DNP,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.10,0.17,0.20,0.21,0.13
DPM,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.09,0.14,0.18,0.13,0.23
DPR,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.11,0.06,0.06,0.08,0.16
DPS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.02,0.04,0.10,0.03,0.05
DQC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.12,0.18,0.19,0.25,0.15
DRC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.16,0.25,0.25,0.23,0.27
DRH,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.15,0.11,0.07,0.06,0.01
DST,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.00,0.00,0.00,0.01,0.02
DTA,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.02,0.00,0.00,0.01,-0.06
DXG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.27,0.19,0.25,0.20,0.14
EFI,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.03,0.04,0.04,0.04,0.08
EIB,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.04,0.02,0.00,0.00,0.04
ELC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.08,0.12,0.10,0.09,0.05
EVE,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.04,0.09,0.13,0.10,0.11
FCM,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.06,0.07,0.04,0.06,0.12
FCN,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.14,0.14,0.16,0.18,0.19
FID,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.01,0.12,0.13,0.13,-0.01
FIT,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.03,0.06,0.15,0.22,0.18
FLC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.07,0.12,0.14,0.09,0.08
FMC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.22,0.22,0.28,0.16,0.14
FPT,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.21,0.22,0.24,0.22,0.29
GAS,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.22,0.18,0.21,0.40,0.38
GEX,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.18,0.18,0.15,0.20,0.20
GGG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.18,0.10,0.17,1.12,-3.88
GMD,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.07,0.08,0.08,0.11,0.05
GSM,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.13,0.08,0.06,0.03,0.00
GTN,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.04,0.01,0.06,0.11,0.03
GTT,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.48,0.63,2.51,-0.71,0.00
HAG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.06,-0.09,0.04,0.11,0.08
HAH,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.19,0.23,0.32,0.30,0.26
HAI,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.05,0.05,0.05,0.12,0.11
HAP,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.01,0.02,0.05,0.05,0.04
HAR,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.01,0.02,0.01,0.05,0.03
HAX,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.20,0.26,0.22,0.16,0.02
HBC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.39,0.31,0.08,0.07,0.02
HCD,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.11,0.12,0.07,0.01,0.00
HCM,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.17,0.13,0.09,0.16,0.13
HD2,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.26,0.21,0.10,0.07,-0.03
HDC,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.13,0.09,0.08,0.04,0.05
HDG,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),0.10,0.14,0.11,0.15,0.19
HDO,16,L?i nhu?n sau thu?/V?n ch? s? h?u (ROE),-0.68,-0.45,0.01,-0.27,-0.12
