Stock,Date,Volume,BuyPrice,CurrentPrice,TakeProfit,StopLoss,Upnl,SellPrice,Pnl,Closed,DoubleTop,Fee
BFC,2017-10-31,2900,35.1,33.9,36.5,36.2,-3878.460000000008,0.0,0,0,0,398.46
KDH,2017-10-31,4100,26.791,29.6,31.0426,28.8,11048.735350000004,0.0,0,0,0,468.16465000000005
PVT,2017-10-31,12260,15.85,16.85,22.95,16.25,11452.066000000023,0.0,0,0,0,807.934
VNM,2017-10-31,1900,149.8,185.0,200.0,175.0,65574.31999999999,0.0,0,0,0,1305.68
FPT,2017-10-31,500,49.7,57.5,61.2,57.0,3790.8499999999985,0.0,0,0,0,109.15
PNJ,2017-11-14,1910,119.0,121.4,136.85,116.1,-4163.88,0.0,0,0,0,1363.8800000000003
CTG,2017-11-21,9010,21.354,23.1,24.642516,20.195999999999998,14922.533190000018,0.0,0,0,0,808.92681
MSN,2017-11-21,1620,62.0,70.0,71.548,63.0,12525.84,0.0,0,0,0,434.16
IDI,2017-11-23,12000,11.4,12.5,14.0,11.0,-3003.75,0.0,0,0,0,503.75000000000006
PVB,2017-11-27,1100,18.4,16.8,21.3,17.7,-1836.5599999999977,0.0,0,0,0,76.55999999999999
PVC,2017-11-27,44200,11.270999999999999,10.8,13.1,10.70745,-22758.867299999925,0.0,0,0,0,1940.6673
IDI,2017-11-27,10000,12.75,12.5,14.0,11.9,-3003.75,0.0,0,0,0,503.75000000000006
PNJ,2017-11-27,2800,122.4,121.4,136.85,116.1,-4163.88,0.0,0,0,0,1363.8800000000003
PC1,2017-11-27,13000,37.5,37.0,43.05,36.7,-8433.75,0.0,0,0,0,1933.75
SHS,2017-11-28,15000,19.533,19.4,22.541082,18.55635,-3161.99250000004,0.0,0,0,0,1166.9924999999998
