Date,Equity
11/14/2017,1266924.856
11/15/2017,1355280.965
11/16/2017,1540018.69
11/18/2017,1529340.711
11/20/2017,1540654.356
11/21/2017,1203318.6770000001
11/21/2017,1353828.017
11/23/2017,1529525.3869999999
11/24/2017,1504428.52
11/27/2017,2821855.09
2017-11-27,2821855.08954
2017-11-28,3229847.1047400013
2017-11-29,3252185.1197399995
2017-11-29,3137519.7122400007
2017-12-01,0.0
2017-12-03,3211951.1672400003
2017-12-04,3294988.05474
