Stock,Date,Volume,BuyPrice,CurrentPrice,TakeProfit,StopLoss,Upnl,SellPrice,Pnl,Closed,DoubleTop,Fee
BFC,2017-10-31,2900,35.1,35.2,36.5,36.2,-117.885,0.0,0,0,0,407.885
KDH,2017-10-31,4100,26.791,29.15,31.0426,28.8,9208.34785,0.0,0,0,0,463.55215
PVT,2017-10-31,12260,15.85,16.65,22.95,16.25,9006.196,0.0,0,0,0,801.804
PNJ,2017-11-14,1910,119.0,124.0,136.85,116.1,8616.965,0.0,0,0,0,933.035
CTG,2017-11-21,9010,21.354,23.3,24.642516,22.7,16720.02819,0.0,0,0,0,813.4318099999999
MSN,2017-11-21,1620,62.0,65.2,71.548,63.0,4769.28,0.0,0,0,0,414.72
IDI,2017-11-23,12000,11.4,12.7,14.0,11.0,15013.8,0.0,0,0,0,586.2
PVB,2017-11-27,1100,18.4,18.1,21.3,17.7,,0.0,0,0,0,
PVC,2017-11-27,44200,11.270999999999999,10.8,13.1,10.70745,,0.0,0,0,0,
IDI,2017-11-27,10000,12.75,12.8,14.0,11.9,,0.0,0,0,0,
PNJ,2017-11-27,2800,122.4,122.0,136.85,116.1,,0.0,0,0,0,
PC1,2017-11-27,13000,37.5,37.45,43.05,36.7,,0.0,0,0,0,
SHS,2017-11-28,15000,19.533,19.4,22.541082,18.55635,,0.0,0,0,0,
PPC,2017-11-29,4250,23.45,23.4,27.1,22.3,,0.0,0,0,0,
IDI,2017-11-29,10000,12.0,11.65,13.85,11.6,,0.0,0,0,0,
SBA,2017-11-29,3000,16.7,16.8,19.3,16.5,,0.0,0,0,0,
