Stock,Date,Volume,BuyPrice,CurrentPrice,TakeProfit,StopLoss,Upnl,SellPrice,Pnl,Closed,DoubleTop,Fee
BFC,2017-10-31,2900,35.1,33.5,36.5,36.2,-5035.560000000005,0.0,0,0,0,395.56000000000006
KDH,2017-10-31,4100,26.791,29.05,31.0426,28.8,8799.372850000002,0.0,0,0,0,462.52715000000006
PVT,2017-10-31,12260,15.85,17.8,22.95,16.25,23069.948500000013,0.0,0,0,0,837.0515
PNJ,2017-11-14,1910,119.0,127.0,136.85,116.1,11476.919999999984,0.0,0,0,0,1403.08
CTG,2017-11-21,9010,21.354,24.25,24.642516,22.7,25258.129440000008,0.0,0,0,0,834.8305599999999
MSN,2017-11-21,1620,62.0,69.0,71.548,66.5,10909.89,0.0,0,0,0,430.11
IDI,2017-11-23,12000,11.4,13.2,14.0,11.6,11489.999999999993,0.0,0,0,0,510.00000000000006
PVB,2017-11-27,1100,18.4,18.0,21.3,17.7,-519.8599999999984,0.0,0,0,0,79.86
PVC,2017-11-27,44200,11.270999999999999,12.3,13.1,10.70745,43375.382700000075,0.0,0,0,0,2106.4173
IDI,2017-11-27,10000,12.75,13.2,14.0,11.6,11489.999999999993,0.0,0,0,0,510.00000000000006
PNJ,2017-11-27,2800,122.4,127.0,136.85,116.1,11476.919999999984,0.0,0,0,0,1403.08
PC1,2017-11-27,13000,37.5,37.4,43.05,36.7,-3246.750000000018,0.0,0,0,0,1946.75
SHS,2017-11-28,15000,19.533,21.3,22.541082,18.55635,25266.757499999992,0.0,0,0,0,1238.2425
PPC,2017-11-29,4250,23.45,24.1,27.1,22.3,2356.943750000009,0.0,0,0,0,405.55625000000003
IDI,2017-11-29,10000,12.0,13.2,13.85,11.6,11489.999999999993,0.0,0,0,0,510.00000000000006
SBA,2017-11-29,3000,16.7,17.0,19.3,16.5,697.3500000000022,0.0,0,0,0,202.65
