Stock,Date,Volume,BuyPrice,CurrentPrice,TakeProfit,StopLoss,Upnl,SellPrice,Pnl,Closed,DoubleTop,Fee
BFC,2017-10-31,2900,35.1,34.0,36.5,36.2,-3589.185000000004,0.0,0,0,0,399.185
KDH,2017-10-31,4100,26.791,29.2,31.0426,28.8,9412.835349999996,0.0,0,0,0,464.06465
PVT,2017-10-31,12260,15.85,17.5,22.95,16.25,19401.143500000002,0.0,0,0,0,827.8565
PNJ,2017-11-14,1910,119.0,126.0,136.85,116.1,8683.919999999984,0.0,0,0,0,1396.0800000000002
CTG,2017-11-21,9010,21.354,24.05,24.642516,22.7,23460.634440000013,0.0,0,0,0,830.32556
MSN,2017-11-21,1620,62.0,68.5,71.548,63.0,10101.915,0.0,0,0,0,428.085
IDI,2017-11-23,12000,11.4,12.6,14.0,11.6,5504.999999999996,0.0,0,0,0,495.0
PVB,2017-11-27,1100,18.4,17.7,21.3,17.7,-849.0349999999992,0.0,0,0,0,79.035
PVC,2017-11-27,44200,11.270999999999999,11.4,13.1,10.70745,3694.832700000059,0.0,0,0,0,2006.9673
IDI,2017-11-27,10000,12.75,12.6,14.0,11.6,5504.999999999996,0.0,0,0,0,495.0
PNJ,2017-11-27,2800,122.4,126.0,136.85,116.1,8683.919999999984,0.0,0,0,0,1396.0800000000002
PC1,2017-11-27,13000,37.5,37.2,43.05,36.7,-5840.249999999964,0.0,0,0,0,1940.2500000000002
SHS,2017-11-28,15000,19.533,20.5,22.541082,18.55635,13296.757499999982,0.0,0,0,0,1208.2425
PPC,2017-11-29,4250,23.45,23.9,27.1,22.3,1509.0687499999972,0.0,0,0,0,403.43125
IDI,2017-11-29,10000,12.0,12.6,13.85,11.6,5504.999999999996,0.0,0,0,0,495.0
SBA,2017-11-29,3000,16.7,17.15,19.3,16.5,1146.2249999999979,0.0,0,0,0,203.775
