Stock,Date,Volume,BuyPrice,CurrentPrice,TakeProfit,StopLoss,Upnl,SellPrice,Pnl,Closed,DoubleTop,Fee
BFC,2017-10-31,2900,35.1,33.8,36.5,36.2,-4167.735000000012,0.0,0,0,0,397.73499999999996
KDH,2017-10-31,4100,26.791,29.5,31.0426,28.8,10639.760349999999,0.0,0,0,0,467.13964999999996
PVT,2017-10-31,12260,15.85,17.2,22.95,16.25,15732.338499999996,0.0,0,0,0,818.6615
VNM,2017-10-31,1900,149.8,185.0,200.0,175.0,65574.31999999999,0.0,0,0,0,1305.68
FPT,2017-10-31,500,49.7,58.2,61.2,57.0,4139.975,0.0,0,0,0,110.025
PNJ,2017-11-14,1910,119.0,122.0,136.85,116.1,-2488.0800000000163,0.0,0,0,0,1368.0800000000002
CTG,2017-11-21,9010,21.354,23.4,24.642516,20.195999999999998,17618.775689999995,0.0,0,0,0,815.68431
MSN,2017-11-21,1620,62.0,68.0,71.548,63.0,9293.94,0.0,0,0,0,426.06
IDI,2017-11-23,12000,11.4,12.8,14.0,11.0,-11.249999999992951,0.0,0,0,0,511.25000000000006
PVB,2017-11-27,1100,18.4,17.7,21.3,17.7,-849.0349999999992,,0,0,0,79.035
PVC,2017-11-27,30000,11.4,11.3,13.1,11.0,-4360.499999999989,,0,0,0,1360.5
IDI,2017-11-27,10000,12.75,12.8,14.0,11.9,-11.249999999992951,,0,0,0,511.25000000000006
PNJ,2017-11-27,2800,122.4,122.0,136.85,116.1,-2488.0800000000163,,0,0,0,1368.0800000000002
PC1,2017-11-27,13000,37.5,37.45,43.05,36.7,-2598.374999999963,,0,0,0,1948.375
