Stock,Date,Volume,BuyPrice,CurrentPrice,TakeProfit,StopLoss,Upnl,SellPrice,Pnl,Closed,DoubleTop,Fee
BFC,10/31/2017,2900,35.1,34.85,36.5,36.2,-1130.3475,0,0,0,0,405.3475
KDH,10/31/2017,4100,26.791,29.5,31.0426,28.8,10639.76035,0,0,0,0,467.13965
PVT,10/31/2017,12260,15.85,16.9,22.95,16.25,12063.5335,0,0,0,0,809.4665
PNJ,11/14/2017,1910,119,122,136.85,116.1,-2488.08,0,0,0,0,1368.08
CTG,11/21/2017,9010,21.354,24.1,24.642516,22.7,23910.00819,0,0,0,0,831.45181
MSN,11/21/2017,1620,62,70,71.548,63,12525.84,0,0,0,0,434.16
IDI,11/23/2017,12000,11.4,11.65,14,11,-3971.25,0,0,0,0,471.25
PVB,11/27/2017,1100,18.4,17,21.3,17.7,-1617.11,0,0,0,0,77.11
PVC,11/27/2017,44200,11.271,11.2,13.1,10.70745,-5123.0673,0,0,0,0,1984.8673
IDI,11/27/2017,10000,12.75,11.65,14,11.9,-3971.25,0,0,0,0,471.25
PNJ,11/27/2017,2800,122.4,122,136.85,116.1,-2488.08,0,0,0,0,1368.08
PC1,11/27/2017,13000,37.5,37,43.05,36.7,-8433.75,0,0,0,0,1933.75
SHS,11/28/2017,15000,19.533,19.9,22.541082,18.55635,4319.2575,0,0,0,0,1185.7425
PPC,11/29/2017,4250,23.45,23.35,27.1,22.3,-822.5875,0,0,0,0,397.5875
IDI,11/29/2017,10000,12,11.65,13.85,11.6,-3971.25,0,0,0,0,471.25
SBA,11/29/2017,3000,16.7,16.8,19.3,16.5,98.85,0,0,0,0,201.15
