,Stock,Quarterly,Yearly
0,AAA,68.95215892761448,66.03273039608891
0,ACB,78.4012697496573,17.447791070518015
0,ACM,47.622651539838046,4865.877379758373
0,ACV,60.03280249241456,8.934491746595373
0,ALV,471.703604363395,97.15214486346878
0,ANV,-72.1026593636048,390.8509674680512
0,APC,85.85790282477781,41.86143134158502
0,ASP,586.6366904284428,-231.08866292059807
0,ATA,-378.5369609722724,-307.0996521598137
0,ATG,106.43399339933994,0.0
0,AVF,-94.63860964467786,-1365.0693940116385
0,BCC,-152.20723745682085,-274.3015365148959
0,BCE,-126.52724949914347,-26.110906571140536
0,BCG,-30.826785703407843,4532.092098030915
0,BFC,-13.664500126858304,6.2152161955518315
0,BGM,-98.29118737277116,419.8219595359829
0,BHS,16.956829087791547,74.21761936021181
0,BID,-23.387183383554156,14.082058918503648
0,BII,-204.2180541668551,-2.564560231491786
0,BMI,-29.693024532447467,29.492467073342056
0,BMP,-37.57801938682621,17.480873319153268
0,BT6,-85.10621780096066,51.34187316989094
0,BVH,-39.64813803582238,-5.375135926902786
0,BXH,-109.90254846632436,3.957941086061001
0,C32,14.74124514412889,10.990519478429416
0,C47,481.31098186572416,-21.049723107637107
0,CAV,79.10293443144192,22.8474539204222
0,CCL,-68.3420370206166,45.75524612482831
0,CEO,-18.398029393820014,159.48873265871845
0,CHP,208.35762249283025,33.91649921253865
0,CII,-101.76690199085789,117.33007037868362
0,CLW,-168.26996931201575,-24.568351540006283
0,CMG,92.4349635697645,113.28418041634572
0,CMI,3799.892216757492,-7177.151872055017
0,CNG,11.523725949671281,2.3101126198348254
0,CSC,-72.1236447930307,210.4097102723579
0,CSM,-94.98847949893808,-11.658488178118276
0,CSV,119.02742640246755,3.307904716566523
0,CTD,31.032810767940646,69.30876110485072
0,CTG,18.276985342985675,3.823417157102793
0,CTI,21.59794805419084,392.7832924885963
0,CYC,-58.89847794852228,-40.11991177331624
0,D2D,-21.378494737009092,4.689589719703791
0,DAG,47.55711426202851,24.188707904158967
0,DBC,46.946888040925685,33.90553395928924
0,DCL,36.20646732227504,48.13814331113415
0,DCM,12.63907990852642,12.19222584707973
0,DCS,0.08221249789162055,150.88657973595014
0,DGC,-2.6207094795172914,6.342561860738338
0,DGW,23.391319425809144,28.62382501346472
0,DHA,117.3553624284415,94.39131011395475
0,DHC,-27.51864373596439,49.586434189642745
0,DHG,-17.473017802752764,-0.8622962944857981
0,DHM,-72.79035927333449,37.00008842846032
0,DHT,93.04451001796126,23.2059528737836
0,DIC,110.62517081775822,2.7335994143762754
0,DIG,-5.726818676688583,49.95028531549226
0,DLG,139.75483241372243,214.02189513054543
0,DPM,-38.11460657485465,-9.810623941008101
0,DPR,143.04484765128902,-21.180633462070464
0,DPS,-79.68145033747726,579.5506579359504
0,DQC,-47.26761789869458,23.06963691299533
0,DRC,-69.5546932769596,0.28270127539364864
0,DRH,-55.41883470080382,268.9886252500012
0,DST,-74.1569905615536,125.90904640755487
0,DXG,3091.801693490444,91.97426028600563
0,EIB,-51.429058884700375,146.32346313195913
0,ELC,-74.14859495483167,38.75270249662488
0,EMC,397.5267058030989,107.41843562562967
0,EVE,-72.82971181236886,1.8786012165193489
0,FCM,-68.61778149483968,6.816675406765982
0,FCN,111.77448960593965,13.700569871700207
0,FIT,-9.197862841556315,118.65030807115535
0,FLC,10.34362263316375,133.8819536940971
0,FMC,95.70413672225628,42.841295604562404
0,FPT,16.91671659476066,6.3550277123687104
0,GAS,92.88201893480323,-13.524555641942849
0,GEX,24.700698404043543,9.704176786771935
0,GGG,-4996.6321439944195,3.8720994178881973
0,GMD,34.851987474921756,69.42857399714487
0,GTN,1558.4273228558625,51.01194491454984
0,GTT,52.36480573776816,-6195.687643790908
0,HAG,-344.48585239217033,-83.79221349665809
0,HAH,56.86338394964925,26.233652135563613
0,HAI,115.80090092932397,14.396028571991181
0,HAP,-39.21666624741997,0.4098431612919562
0,HAR,-331.6966560243539,31.91326205070819
0,HAS,231.52391323934393,62.148353683118884
0,HAX,40.765662263521186,423.6645013489651
0,HBC,33.28212185786623,210.9090523643337
0,HDA,-10.610190664769126,31.408829262975168
0,HDC,375.45581968230823,33.9082729137292
0,HDG,-91.32196658831324,20.704190121832156
0,HDO,-219.1873217136215,-910.2060883301638
0,HHG,-47.233872194737295,268.7042080834436
0,HHS,-21.99517469787167,89.16547672742536
0,HKB,-438.6037185258339,496.10663634990885
0,HLA,30.803176958473433,30.616212088801387
0,HLD,-99.54749251312933,-16.07102513598567
0,HMC,58.28067912287567,-174.59394963254056
0,HNF,191.66843511669333,9.72811275495864
0,HNG,-189.31241154837184,-76.80584628080868
0,HNM,-56.69177764040667,50.5622815428632
0,HPG,34.06742322344296,52.103779846502185
0,HQC,1.0076473949090392,575.5093255140144
0,HRC,-35.62345118365514,-42.806453244475684
0,HSG,-52.27739103276,55.065585418978344
0,HT1,-63.68891021036684,2467.3549121539336
0,HTI,-0.5157940071906619,21.42526909732194
0,HUT,-69.33437045755755,731.4161636563367
0,HVG,-66.59128805883057,-24.461326448949016
0,ICG,-98.31339034022801,168.93126736225227
0,IDI,652.7858290838949,53.797392561805246
0,IDV,-54.95793968910634,77.54527232956451
0,IJC,-51.4592676838521,3.898656738362183
0,ITA,24.126859310641358,32.81277220878893
0,ITC,1372.1042062548,59.93483186372652
0,ITD,-3.096973162222161,52.36729556005359
0,ITQ,-137.17476321712644,160.35968791029708
0,ITS,-91.01956318421549,-31.410993379402708
0,JVC,-190.18852152571606,-89.95296522577071
0,KBC,-21.653190405030575,145.95964182044
